ID,Tissue,Mutant Gene,Level,DisGeNET: Exist,DisGeNET: Min(Association Score),DisGeNET: Max(Association Score),CGC: Exist,CGC: Tier,CGC: GeneID,Evidences: Total number of evidence,Evidences: Total number of evidence(Associated),Evidences: Total number of evidence(Not Associated),Evidences: Total number of evidence(No Enough Information),Evidences: Urls,"Evidences: Scores(A:Ass., B: Not Ass., C: No Enough Information)",Cases: Number of Cases,Cases: Case No. of PMC-Patients,Cases: PMC PMIDs,Cases: PMC File Paths
0,Breast,TP53,0,True,0.01,0.9,True,1,7157,0,0,0,0,[],[],41,"[1316, 5641, 8346, 10497, 13348, 14033, 24330, 25314, 26581, 32164, 32573, 39612, 45498, 47012, 50020, 51802, 51803, 55650, 56618, 58445, 58943, 59449, 67385, 73410, 79632, 83100, 102312, 107014, 107480, 112709, 113038, 116818, 116820, 116821, 123683, 131440, 131639, 131640, 131642, 131643, 161394]","[30050867, 30636633, 31064327, 31392066, 31749828, 31827960, 32867793, 32964198, 32899294, 33580181, 33634015, 22672556, 24373500, 34976791, 32959210, 34168978, 34168978, 34452612, 34539758, 34670578, 34721911, 34765345, 28590426, 29703236, 25671134, 26484312, 33224455, 33911878, 33995588, 34800263, 34866915, 28356770, 28356770, 28356770, 29610388, 30548923, 30709875, 30709875, 30709875, 30709875, 23667851]","['comm/PMC006xxxxxx/PMC6052887.xml', 'comm/PMC006xxxxxx/PMC6330567.xml', 'comm/PMC006xxxxxx/PMC6505212.xml', 'comm/PMC006xxxxxx/PMC6662482.xml', 'comm/PMC006xxxxxx/PMC6842924.xml', 'comm/PMC006xxxxxx/PMC6885189.xml', 'comm/PMC007xxxxxx/PMC7457373.xml', 'comm/PMC007xxxxxx/PMC7504877.xml', 'comm/PMC007xxxxxx/PMC7564492.xml', 'comm/PMC007xxxxxx/PMC7881101.xml', 'comm/PMC007xxxxxx/PMC7900143.xml', 'comm/PMC003xxxxxx/PMC3487792.xml', 'comm/PMC003xxxxxx/PMC3913615.xml', 'comm/PMC008xxxxxx/PMC8716402.xml', 'comm/PMC008xxxxxx/PMC8134641.xml', 'comm/PMC008xxxxxx/PMC8217650.xml', 'comm/PMC008xxxxxx/PMC8217650.xml', 'comm/PMC008xxxxxx/PMC8399826.xml', 'comm/PMC008xxxxxx/PMC8440986.xml', 'comm/PMC008xxxxxx/PMC8527636.xml', 'comm/PMC008xxxxxx/PMC8553503.xml', 'comm/PMC008xxxxxx/PMC8575327.xml', 'comm/PMC005xxxxxx/PMC5486041.xml', 'comm/PMC005xxxxxx/PMC5923005.xml', 'comm/PMC004xxxxxx/PMC4323278.xml', 'comm/PMC004xxxxxx/PMC4586434.xml', 'noncomm/PMC007xxxxxx/PMC7649882.xml', 'noncomm/PMC008xxxxxx/PMC8075353.xml', 'noncomm/PMC008xxxxxx/PMC8107674.xml', 'noncomm/PMC008xxxxxx/PMC8605449.xml', 'noncomm/PMC008xxxxxx/PMC8636970.xml', 'noncomm/PMC005xxxxxx/PMC5367777.xml', 'noncomm/PMC005xxxxxx/PMC5367777.xml', 'noncomm/PMC005xxxxxx/PMC5367777.xml', 'noncomm/PMC005xxxxxx/PMC5880257.xml', 'noncomm/PMC006xxxxxx/PMC6360236.xml', 'noncomm/PMC006xxxxxx/PMC6371746.xml', 'noncomm/PMC006xxxxxx/PMC6371746.xml', 'noncomm/PMC006xxxxxx/PMC6371746.xml', 'noncomm/PMC006xxxxxx/PMC6371746.xml', 'noncomm/PMC003xxxxxx/PMC3646199.xml']"
1,Breast,BRCA2,0,True,0.01,0.7,True,1,675,0,0,0,0,[],[],39,"[1142, 1316, 8152, 12120, 12921, 12922, 12923, 17680, 23765, 29470, 30904, 36551, 49186, 58541, 58542, 58543, 61836, 67636, 75464, 79632, 86515, 87990, 91013, 106459, 107480, 112065, 113825, 116895, 121342, 121343, 122637, 127467, 127822, 134031, 134083, 134744, 144103, 148919, 152795]","[30050710, 30050867, 31039815, 31592366, 30980249, 30980249, 30980249, 32206145, 32832298, 33364101, 33489192, 22011321, 33954070, 34674065, 34674065, 34674065, 27603373, 28706762, 24959366, 25671134, 27195161, 27488020, 19144122, 33868464, 33995588, 34703979, 27721756, 28382102, 28655807, 28655807, 29215753, 29983698, 30046448, 30936197, 31225426, 31320873, 25798433, 26600777, 27382401]","['comm/PMC006xxxxxx/PMC6040243.xml', 'comm/PMC006xxxxxx/PMC6052887.xml', 'comm/PMC006xxxxxx/PMC6492413.xml', 'comm/PMC006xxxxxx/PMC6773448.xml', 'comm/PMC006xxxxxx/PMC6821909.xml', 'comm/PMC006xxxxxx/PMC6821909.xml', 'comm/PMC006xxxxxx/PMC6821909.xml', 'comm/PMC007xxxxxx/PMC7081695.xml', 'comm/PMC007xxxxxx/PMC7437113.xml', 'comm/PMC007xxxxxx/PMC7749830.xml', 'comm/PMC007xxxxxx/PMC7813105.xml', 'comm/PMC003xxxxxx/PMC3206866.xml', 'comm/PMC008xxxxxx/PMC8088774.xml', 'comm/PMC008xxxxxx/PMC8531180.xml', 'comm/PMC008xxxxxx/PMC8531180.xml', 'comm/PMC008xxxxxx/PMC8531180.xml', 'comm/PMC005xxxxxx/PMC5023896.xml', 'comm/PMC005xxxxxx/PMC5507666.xml', 'comm/PMC004xxxxxx/PMC4052146.xml', 'comm/PMC004xxxxxx/PMC4323278.xml', 'comm/PMC004xxxxxx/PMC4852335.xml', 'comm/PMC004xxxxxx/PMC4973114.xml', 'comm/PMC002xxxxxx/PMC2635376.xml', 'noncomm/PMC008xxxxxx/PMC8024449.xml', 'noncomm/PMC008xxxxxx/PMC8107674.xml', 'noncomm/PMC008xxxxxx/PMC8536866.xml', 'noncomm/PMC005xxxxxx/PMC5043351.xml', 'noncomm/PMC005xxxxxx/PMC5378570.xml', 'noncomm/PMC005xxxxxx/PMC5701310.xml', 'noncomm/PMC005xxxxxx/PMC5701310.xml', 'noncomm/PMC005xxxxxx/PMC5797818.xml', 'noncomm/PMC006xxxxxx/PMC6031950.xml', 'noncomm/PMC006xxxxxx/PMC6056777.xml', 'noncomm/PMC006xxxxxx/PMC6549572.xml', 'noncomm/PMC006xxxxxx/PMC6558134.xml', 'noncomm/PMC006xxxxxx/PMC6616081.xml', 'noncomm/PMC004xxxxxx/PMC4366872.xml', 'noncomm/PMC004xxxxxx/PMC4649728.xml', 'noncomm/PMC004xxxxxx/PMC4929266.xml']"
2,Breast,BRCA1,0,True,0.01,0.7,True,1,672,0,0,0,0,[],[],37,"[3637, 4790, 4940, 12919, 12920, 21533, 30398, 33043, 34760, 36678, 41858, 43838, 45928, 47731, 48036, 52065, 68859, 75406, 80394, 83069, 84999, 85359, 85369, 89489, 100229, 102312, 106307, 107014, 107482, 112372, 120231, 122636, 122638, 137348, 138362, 138874, 146638]","[30340058, 30518416, 30564348, 30980249, 30980249, 32611325, 33407746, 33681280, 21340004, 22275994, 23374397, 24137399, 24660075, 33756165, 33810213, 34073420, 28944120, 24932298, 25880076, 26448888, 26848422, 26868636, 26918222, 17850658, 32884538, 33224455, 33815520, 33911878, 33995588, 34754911, 28970858, 29215753, 29215753, 31762754, 32009791, 24847251, 25483746]","['comm/PMC006xxxxxx/PMC6197605.xml', 'comm/PMC006xxxxxx/PMC6282289.xml', 'comm/PMC006xxxxxx/PMC6293152.xml', 'comm/PMC006xxxxxx/PMC6821909.xml', 'comm/PMC006xxxxxx/PMC6821909.xml', 'comm/PMC007xxxxxx/PMC7329406.xml', 'comm/PMC007xxxxxx/PMC7789215.xml', 'comm/PMC007xxxxxx/PMC7927667.xml', 'comm/PMC003xxxxxx/PMC3039970.xml', 'comm/PMC003xxxxxx/PMC3223994.xml', 'comm/PMC003xxxxxx/PMC3636039.xml', 'comm/PMC003xxxxxx/PMC3788828.xml', 'comm/PMC003xxxxxx/PMC3934306.xml', 'comm/PMC008xxxxxx/PMC8020432.xml', 'comm/PMC008xxxxxx/PMC8036896.xml', 'comm/PMC008xxxxxx/PMC8229931.xml', 'comm/PMC005xxxxxx/PMC5602378.xml', 'comm/PMC004xxxxxx/PMC4049668.xml', 'comm/PMC004xxxxxx/PMC4377178.xml', 'comm/PMC004xxxxxx/PMC4581541.xml', 'comm/PMC004xxxxxx/PMC4727954.xml', 'comm/PMC004xxxxxx/PMC4750191.xml', 'comm/PMC004xxxxxx/PMC4752368.xml', 'comm/PMC002xxxxxx/PMC2075500.xml', 'noncomm/PMC007xxxxxx/PMC7443654.xml', 'noncomm/PMC007xxxxxx/PMC7649882.xml', 'noncomm/PMC008xxxxxx/PMC8010565.xml', 'noncomm/PMC008xxxxxx/PMC8075353.xml', 'noncomm/PMC008xxxxxx/PMC8107674.xml', 'noncomm/PMC008xxxxxx/PMC8565681.xml', 'noncomm/PMC005xxxxxx/PMC5620447.xml', 'noncomm/PMC005xxxxxx/PMC5797818.xml', 'noncomm/PMC005xxxxxx/PMC5797818.xml', 'noncomm/PMC006xxxxxx/PMC6873165.xml', 'noncomm/PMC006xxxxxx/PMC6970476.xml', 'noncomm/PMC004xxxxxx/PMC4025152.xml', 'noncomm/PMC004xxxxxx/PMC4506095.xml']"
3,Breast,PTEN,0,True,0.01,0.7,False,1,5728,0,0,0,0,[],[],17,"[9249, 12844, 24042, 24043, 32573, 38210, 48571, 51802, 65805, 67832, 83067, 87985, 97718, 100530, 131138, 141047, 164976]","[31055886, 31664961, 32923864, 32923864, 33634015, 22848856, 33882939, 34168978, 28347348, 28741261, 26448889, 27488391, 32399010, 32908792, 29510612, 25246819, 24346879]","['comm/PMC006xxxxxx/PMC6565551.xml', 'comm/PMC006xxxxxx/PMC6819610.xml', 'comm/PMC007xxxxxx/PMC7446515.xml', 'comm/PMC007xxxxxx/PMC7446515.xml', 'comm/PMC007xxxxxx/PMC7900143.xml', 'comm/PMC003xxxxxx/PMC3405564.xml', 'comm/PMC008xxxxxx/PMC8061223.xml', 'comm/PMC008xxxxxx/PMC8217650.xml', 'comm/PMC005xxxxxx/PMC5368924.xml', 'comm/PMC005xxxxxx/PMC5524662.xml', 'comm/PMC004xxxxxx/PMC4581503.xml', 'comm/PMC004xxxxxx/PMC4973052.xml', 'noncomm/PMC007xxxxxx/PMC7204884.xml', 'noncomm/PMC007xxxxxx/PMC7462819.xml', 'noncomm/PMC006xxxxxx/PMC6333971.xml', 'noncomm/PMC004xxxxxx/PMC4170159.xml', 'noncomm/PMC003xxxxxx/PMC3876002.xml']"
4,Breast,PIK3CA,0,True,0.01,0.7,True,1,5290,0,0,0,0,[],[],10,"[21188, 47012, 51802, 52589, 60905, 65805, 79632, 110798, 123683, 152906]","[32569228, 34976791, 34168978, 34258025, 34900474, 28347348, 25671134, 34483661, 29610388, 27445490]","['comm/PMC007xxxxxx/PMC7310977.xml', 'comm/PMC008xxxxxx/PMC8716402.xml', 'comm/PMC008xxxxxx/PMC8217650.xml', 'comm/PMC008xxxxxx/PMC8256329.xml', 'comm/PMC008xxxxxx/PMC8648282.xml', 'comm/PMC005xxxxxx/PMC5368924.xml', 'comm/PMC004xxxxxx/PMC4323278.xml', 'noncomm/PMC008xxxxxx/PMC8408891.xml', 'noncomm/PMC005xxxxxx/PMC5880257.xml', 'noncomm/PMC004xxxxxx/PMC4936809.xml']"
5,Breast,CDH1,0,True,0.01,0.5,False,1,999,0,0,0,0,[],[],5,"[1220, 2263, 43005, 45498, 83099]","[30007404, 30153845, 23849133, 24373500, 26484312]","['comm/PMC006xxxxxx/PMC6046101.xml', 'comm/PMC006xxxxxx/PMC6114493.xml', 'comm/PMC003xxxxxx/PMC3716915.xml', 'comm/PMC003xxxxxx/PMC3913615.xml', 'comm/PMC004xxxxxx/PMC4586434.xml']"
6,Breast,MSH2,0,True,0.01,0.31,False,1,4436,0,0,0,0,[],[],5,"[33615, 59449, 66669, 87632, 161585]","[33738159, 34765345, 28507641, 27413415, 23730114]","['comm/PMC007xxxxxx/PMC7958932.xml', 'comm/PMC008xxxxxx/PMC8575327.xml', 'comm/PMC005xxxxxx/PMC5429559.xml', 'comm/PMC004xxxxxx/PMC4942885.xml', 'noncomm/PMC003xxxxxx/PMC3663064.xml']"
7,Breast,ATM,0,True,0.01,0.5,False,1,472,0,0,0,0,[],[],5,"[67636, 68789, 94297, 96863, 107482]","[28706762, 28929041, 20380744, 32206661, 33995588]","['comm/PMC005xxxxxx/PMC5507666.xml', 'comm/PMC005xxxxxx/PMC5593749.xml', 'comm/PMC002xxxxxx/PMC2857855.xml', 'noncomm/PMC007xxxxxx/PMC7073363.xml', 'noncomm/PMC008xxxxxx/PMC8107674.xml']"
8,Breast,PALB2,0,True,0.01,0.7,True,1,79728,0,0,0,0,[],[],4,"[5005, 33389, 83102, 96863]","[30564542, 33718150, 26484312, 32206661]","['comm/PMC006xxxxxx/PMC6298615.xml', 'comm/PMC007xxxxxx/PMC7943848.xml', 'comm/PMC004xxxxxx/PMC4586434.xml', 'noncomm/PMC007xxxxxx/PMC7073363.xml']"
9,Breast,MLH1,0,True,0.01,0.32,False,1,4292,0,0,0,0,[],[],4,"[8215, 13348, 33615, 161585]","[31046708, 31749828, 33738159, 23730114]","['comm/PMC006xxxxxx/PMC6498505.xml', 'comm/PMC006xxxxxx/PMC6842924.xml', 'comm/PMC007xxxxxx/PMC7958932.xml', 'noncomm/PMC003xxxxxx/PMC3663064.xml']"
